//id,nome,PV,poder,def,imagem,xImagem,yImagem,descricao,

0,0,20,2,0,aprendiz001,0,0,0
1,1,30,3,0,espadachin001,0,0,0
2,2,23,2,0,mago001,0,0,0
3,3,23,3,0,arqueiro001,0,0,0
4,4,28,3,0,mercador001,0,0,0
5,5,25,3,0,gatuno001,0,0,0
6,6,25,2,0,novico001,0,0,0
7,7,27,2,0,taekwon001,0,0,0
8,8,40,2,0,ninja001,0,0,0
9,9,40,2,0,justiceiro001,0,0,0
10,10,30,3,0,superAprendiz001,0,0,0
11,11,52,5,0,cavaleiro001,0,0,0
12,12,55,4,0,templario001,0,0,0
13,13,40,3,0,bruxo001,0,0,0
14,14,40,3,0,sabio001,0,0,0
15,15,42,5,0,cacador001,0,0,0
16,16,44,4,0,bardo001,0,0,0
17,17,44,4,0,odalistica001,0,0,0
18,18,50,4,0,ferreiro001,0,0,0
19,19,44,3,0,alquimista001,0,0,0
20,20,46,4,0,mercenario001,0,0,0
21,21,46,4,0,arruaceiro001,0,0,0
22,22,48,3,0,sacerdote001,0,0,0
23,23,50,4,0,monge001,0,0,0
24,24,48,3,0,mestreTaekwon001,0,0,0
25,25,40,3,0,espiritualista001,0,0,0



